Voltage(V),SoE (%)
4.065686,91.82753386
4.065432,91.81224424
4.065157,91.7969384
4.065041,91.78165744
4.064888,91.76633644
4.064714,91.75108686
4.064653,91.73592492
4.064483,91.7205693
4.064332,91.70527644
4.064151,91.68998141
4.06404,91.6748054
4.063912,91.65948657
4.063958,91.64417856
4.063791,91.62898524
4.063645,91.61373025
4.063498,91.59836598
4.06331,91.58319646
4.063214,91.56790684
4.063052,91.55261506
4.062842,91.53736007
4.062554,91.52204773
4.062376,91.50689012
4.062256,91.49157995
4.062186,91.47630656
4.062004,91.46104291
4.061852,91.44578142
4.061669,91.43050479
4.061535,91.41522167
4.061364,91.39994503
4.061378,91.38469762
4.061306,91.36943505
4.061178,91.35418655
4.060983,91.33900297
4.060887,91.32374473
4.060698,91.30835881
4.060593,91.29312871
4.060447,91.27797218
4.06029,91.26274748
4.060135,91.2474438
4.059898,91.23211631
4.059688,91.21684509
4.059475,91.20171669
4.059319,91.18645412
4.059027,91.17118182
4.05911,91.15591276
4.05886,91.14069022
4.058729,91.12543848
4.058624,91.11020621
4.058466,91.09491984
4.058471,91.07960858
4.05837,91.06437523
4.05824,91.04912997
4.058078,91.03397452
4.057946,91.01862864
4.057774,91.0033823
4.057658,90.98813597
4.057531,90.97294481
4.057263,90.957745
4.057055,90.94247161
4.056882,90.92714846
4.056763,90.91195405
4.056561,90.89668716
4.056379,90.88148302
4.056257,90.86629078
4.056101,90.8510293
4.055957,90.83574401
4.055884,90.82057558
4.055699,90.80523835
4.055586,90.79010779
4.055544,90.77485604
4.055423,90.75949934
4.055254,90.74435796
4.055144,90.72908673
4.054962,90.71391397
4.05479,90.69861462
4.054626,90.6834094
4.054466,90.66818795
4.054279,90.65292971
4.054074,90.63772881
4.053899,90.62247707
4.053678,90.60723398
4.05357,90.59194436
4.053432,90.57679107
4.053336,90.56154366
4.053168,90.54630489
4.05299,90.53112131
4.052931,90.51585225
4.052837,90.5006968
4.052754,90.48539745
4.052614,90.47015436
4.05241,90.45502596
4.052294,90.43975365
4.052119,90.42458955
4.051993,90.40930642
4.051851,90.39410877
4.051668,90.37884621
4.051418,90.36363558
4.05122,90.34837626
4.051047,90.33325002
4.050859,90.31798962
4.050778,90.3027541
4.050591,90.28745907
4.050461,90.27235015
4.050285,90.25715467
4.050151,90.2418077
4.049877,90.22664793
4.050036,90.21140808
4.049903,90.19624289
4.049801,90.1810182
4.04961,90.16570694
4.049422,90.15059261
4.049258,90.13531165
4.049111,90.12018974
4.048944,90.10487956
4.048798,90.08968192
4.048536,90.07450374
4.048372,90.05926282
4.048226,90.04411386
4.048002,90.02890647
4.047861,90.01373263
4.047756,89.99853823
4.047575,89.98333517
4.047505,89.96810723
4.047343,89.95287063
4.047191,89.93758967
4.047163,89.92239635
4.047001,89.9072409
4.046869,89.89201945
4.046716,89.8768521
4.046597,89.86163173
4.046451,89.84636375
4.046288,89.83118883
4.046064,89.81602148
4.045862,89.80075783
4.045694,89.78553529
4.045511,89.77040473
4.045321,89.75525361
4.045126,89.73992937
4.045058,89.72478149
4.044918,89.70955463
4.04475,89.69437862
4.044534,89.67925672
4.044465,89.66401471
4.04431,89.6487846
4.044215,89.63358046
4.044149,89.61846504
4.043995,89.60318625
4.043832,89.58810113
4.043662,89.57282558
4.043502,89.55768852
4.043434,89.54246923
4.043233,89.52729972
4.043056,89.51214535
4.042807,89.49690875
4.042603,89.48167107
4.04245,89.46649398
4.04228,89.45140561
4.042057,89.43619607
4.042022,89.42102871
4.04191,89.40571854
4.041705,89.39054794
4.041536,89.37538167
4.041448,89.36018078
4.041381,89.34500585
4.041282,89.32984608
4.041123,89.31462246
4.040957,89.29943347
4.040802,89.28434943
4.040652,89.26907713
4.040504,89.25386974
4.04032,89.23871429
4.04006,89.22364216
4.039828,89.20838175
4.039687,89.19317653
4.039602,89.1780438
4.039447,89.16284183
4.039323,89.14766149
4.039063,89.13256772
4.038884,89.11730082
4.038819,89.10213131
4.038624,89.08697261
4.038565,89.07186801
4.038513,89.0566444
4.03836,89.04147488
4.038224,89.02633783
4.038044,89.01113585
4.037878,88.9959988
4.03778,88.98079682
4.037568,88.96563813
4.037372,88.95047943
4.037161,88.93525582
4.036944,88.9201404
4.036883,88.90496006
4.036677,88.88974727
4.036458,88.87465349
4.036334,88.85941906
4.036156,88.844282
4.036033,88.82908003
4.035881,88.81396461
4.03581,88.79884919
4.035669,88.78362558
4.035583,88.76844524
4.035436,88.75336229
4.035259,88.73822523
4.035095,88.72302326
4.035003,88.70776718
4.034814,88.69268423
4.034652,88.67752553
4.034471,88.66230191
4.034215,88.64722978
4.03403,88.63207108
4.033846,88.61686911
4.033719,88.60169959
4.03355,88.5865409
4.033421,88.57145794
4.033294,88.55624514
4.033078,88.54115137
4.032925,88.52589529
4.032861,88.51081234
4.03273,88.4956861
4.032646,88.48048413
4.032505,88.46540117
4.032355,88.45019919
4.03219,88.43510542
4.032071,88.41984934
4.031867,88.40475557
4.031695,88.38966179
4.031455,88.3745031
4.031171,88.3593444
4.031124,88.34419652
4.030941,88.32900537
4.030806,88.31393323
4.030607,88.29868798
4.030491,88.28357256
4.030256,88.26842469
4.030175,88.25327681
4.029983,88.23821549
4.030035,88.22307844
4.029856,88.20787646
4.029715,88.19280433
4.029564,88.17765645
4.02941,88.16247612
4.029283,88.14739316
4.029079,88.13216954
4.028934,88.11702167
4.028739,88.10194953
4.028483,88.08680166
4.028306,88.0716646
4.028135,88.05658164
4.028019,88.04142295
4.027809,88.02623179
4.027668,88.01117048
4.027488,87.99593604
4.027316,87.98095046
4.027239,87.96574849
4.02708,87.95062225
4.027069,87.93547438
4.026883,87.92035896
4.026711,87.90524355
4.026576,87.89006321
4.026458,87.87493697
4.026317,87.85986484
4.026119,87.84471696
4.025992,87.82960155
4.025713,87.81448613
4.025555,87.79940317
4.02538,87.78428776
4.025169,87.76907496
4.025032,87.75405693
4.024842,87.73881167
4.024737,87.72369625
4.024588,87.70858084
4.024446,87.69347624
4.02422,87.67838247
4.0241,87.66321295
4.024095,87.64810835
4.023949,87.63294966
4.023792,87.6179208
4.023677,87.60278375
4.023486,87.58767915
4.023337,87.57254209
4.023182,87.55744832
4.022992,87.54228962
4.022782,87.52720667
4.02249,87.51205879
4.022346,87.49700829
4.02221,87.48189288
4.022082,87.46682074
4.021899,87.45158631
4.021729,87.43655745
4.021578,87.42137712
4.02142,87.40628334
4.021272,87.39118956
4.021279,87.37610661
4.021131,87.36103447
4.020934,87.34590823
4.020811,87.33077118
4.02071,87.31563412
4.020522,87.30052953
4.02037,87.28541411
4.020247,87.27029869
4.019989,87.25517246
4.019725,87.24006786
4.019527,87.22496327
4.019418,87.20995605
4.01926,87.19481899
4.019076,87.1797685
4.018974,87.16467472
4.018788,87.14957012
4.018639,87.13447635
4.018485,87.11930683
4.018404,87.10421306
